Product Name,JLR
Station Name,EOL
Serial Number,!193520042!_V29113441
DateTime,20191227_185501
Total Test Time,305.951000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,2.582
Switch On CAN_12,,,,,Passed,0.188
Switch On CAN_34,,,,,Passed,0.186
Voltage=12.5V,,,,,Passed,0.221
Voltage=12.5V,,,,,Passed,0.248
Current=5A,,,,,Passed,0.225
12V_DC_Source,,,,,Passed,0.240
Wait,,,,,Passed,0.524
Switch ON Current measure,,,,,Passed,0.188
Switch OFF 12V_9,,,,,Passed,0.188
Wait,,,,,Passed,30.025
Sleep Power Current Measure,98.420,uA,0,100,Passed,0.854
Switch On 12V_9,,,,,Passed,0.187
Wait,,,,,Passed,0.224
Switch OFF Current measure,,,,,Passed,0.186
Wait,,,,,Passed,0.224
Wake up,,,,,Passed,1.182
Wait,,,,,Passed,0.223
Switch ON Current measure,,,,,Passed,0.187
Wait,,,,,Passed,5.025
Standby Power Current Measure,0.730,A,0.5,0.9,Passed,0.542
Wait,,,,,Passed,0.223
Switch OFF Current measure,,,,,Passed,0.189
Connect DUT,,,,,Passed,6.687
Wait,,,,,Passed,0.226
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.122
Switch On 12V_10,,,,,Passed,0.220
Switch On 12V_20,,,,,Passed,0.223
EnvironmentPath,,,,,Passed,1.333
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.309
FPGA version,0d180a03,,0d180a03,,Passed,0.049
MCU version,045,,045,,Passed,0.046
Read FSSMACS_AclState,50,,30,50,Passed,0.040
Read FTSMACS_AclState,3,,3,3,Passed,0.042
Read SASMACS_AclState,2,,2,2,Passed,0.038
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.036
Read FTEAEXC_UResExcAvg,0.990,,0.95,1.2,Passed,0.041
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.114
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.038
Wait,,,,,Passed,0.224
Set LV Voltage=10V,,,,,Passed,0.242
Wait,,,,,Passed,0.224
Read_FS_UbatLV_U16,1165,,900,1300,Passed,0.091
Set_LV_Voltage=12V,,,,,Passed,0.250
Wait,,,,,Passed,0.224
Read_FS_UbatLV_U16,1408,,1200,1600,Passed,0.070
Set_LV_Voltage=14V,,,,,Passed,0.242
Wait,,,,,Passed,0.227
Read_FS_UbatLV_U16,1648,,1400,1800,Passed,0.077
Read Correction,0.00828,,0,1,Passed,0.270
LV_Caculation ,,,,,Passed,0.096
NumericTest,0.00828,,0,1,Passed,0.003
Set_LV_Voltage=12.5V,,,,,Passed,0.254
HV_Channel ON,,,,,Passed,0.641
Apply HV Battery = 0V,,,,,Passed,0.079
Set FSEABHV_HighUbatHVThdC=530,,,,,Passed,0.223
Set SAMTBHV_HighVoltageThrC=530,,,,,Passed,0.220
HV_Source ON,,,,,Passed,0.069
Switch On HV_21,,,,,Passed,0.230
Switch On HV_22,,,,,Passed,0.227
Switch On 12V_8,,,,,Passed,0.212
Switch On 12V_9,,,,,Passed,0.205
Read T_Iuvw3_U16[0],2041,,2024,2080,Passed,0.043
Read T_Iuvw3_U16[1],2051,,2024,2080,Passed,0.039
Read T_Iuvw3_U16[2],2050,,2024,2080,Passed,0.040
Read FS_IbatHV_U16,2054,,2024,2080,Passed,0.044
HV_Channel ON,,,,,Passed,0.603
HV_Source ON,,,,,Passed,0.070
Apply HV Battery = 270V,,,,,Passed,0.069
Apply HV Battery =2A,,,,,Passed,0.086
Wait,,,,,Passed,0.528
Read FSEABHV_UbatHV,269.0912,,265,273,Passed,0.037
HV_Source OFF,,,,,Passed,0.067
HV_Channel OFF,,,,,Passed,0.601
Wait,,,,,Passed,0.527
Read FSMAPMT_PmTemp,24.0252,,18,26,Passed,0.040
Read FSMADBT_DboardTemp,22.851,,20,40,Passed,0.037
Read FSMACBT_CboardTempHV,23.574,,20,40,Passed,0.036
Read FSMACBT_CboardTempLV,23.277,,20,40,Passed,0.044
Read FSMAICT_CoolingTemp,22.426,,18,30,Passed,0.037
Read FSMAMST_StatorTemp1,83.121,,78,88,Passed,0.037
Read FSMAMST_StatorTemp2,86.821,,78,88,Passed,0.038
Wait,,,,,Passed,0.524
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.235
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.220
Wait,,,,,Passed,0.525
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.296
Set MAIN_u16ModeReq=1,,,,,Passed,0.295
Set MAIN_u16ModeReq=1,,,,,Passed,0.305
Wait,,,,,Passed,0.529
Set UDS_bRoutineActive=1,,,,,Passed,0.529
MAIN_MSGu8PowerMode=7,,,,,Passed,0.317
Wait,,,,,Passed,0.526
ENS testing ENS_u32Dty,10200,,5000,15000,Passed,1.261
ENS testing ENS_u32Prd,20006,,10000,30000,Passed,1.141
HV_Channel ON,,,,,Passed,0.603
HV_Source ON,,,,,Passed,0.070
Apply HV Battery = 220V,,,,,Passed,0.069
Wait,,,,,Passed,1.025
Read FS_UbatHV_U16,956,,900,1000,Passed,0.071
Apply HV Battery = 280V,,,,,Passed,0.075
Wait,,,,,Passed,1.025
Read FS_UbatHV_U16,1215,,1000,1300,Passed,0.078
Apply HV Battery = 350V,,,,,Passed,0.071
Wait,,,,,Passed,1.025
Read FS_UbatHV_U16,1515,,1400,1600,Passed,0.075
Read Correction,0.233,,0,1,Passed,0.080
HV_Caculation ,,,,,Passed,0.105
Check_the_water,1,,1,1,Passed,1.165
U_LOAD,,,,,Passed,0.075
V_LOAD,,,,,Passed,0.070
W_LOAD,,,,,Passed,0.065
Apply HV Battery =270V,,,,,Passed,0.066
Apply HV Battery =25A,,,,,Passed,0.074
Read FSSMACS_AclState,50,,30,50,Passed,0.036
Read FTSMACS_AclState,3,,3,3,Passed,0.045
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.215
Wait,,,,,Passed,0.124
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.218
Wait,,,,,Passed,0.125
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.272
Wait,,,,,Passed,1.025
Set UDS_bRoutineActive=1,,,,,Passed,0.290
Wait,,,,,Passed,1.025
Read FSSMACS_Aclstate,50,,30,50,Passed,0.039
Set MAIN_u8GKNAppliModeBYPC=1,,,,,Passed,0.218
Wait,,,,,Passed,0.525
Set MAIN_u16ModeReq=0,,,,,Passed,0.041
Read FSSMACS_Aclstate,31,,30,31,Passed,0.039
Wait,,,,,Passed,0.525
Set FTSMACS_FtModeReqBypassOnOffC=1,,,,,Passed,0.227
Wait,,,,,Passed,0.527
Set FTSMACS_FtModeReqBypassValueC=6,,,,,Passed,0.214
Wait,,,,,Passed,0.524
Read FTSMACS_AclState,8,,8,8,Passed,0.040
Wait,,,,,Passed,0.525
Read FSSMACS_Aclstate,31,,30,31,Passed,0.045
Set_FTCIVDC_ExtPwmOnOff3C=1,,,,,Passed,0.227
Wait,,,,,Passed,0.527
Set_U_DutyCycle= 0.548,,,,,Passed,0.216
Wait,,,,,Passed,0.524
Read FT_Iuvw3_U16[0],1554,,1000,3000,Passed,0.085
Read U Current,-353.730,,-500,500,Passed,0.820
Set_U_DutyCycle= 0.545,,,,,Passed,0.232
Wait,,,,,Passed,0.524
Read FT_Iuvw3_U16[0],1675,,1000,3000,Passed,0.085
