Product Name,JLR
Station Name,EOL
Serial Number,!193520030!_V29113441
DateTime,20191227_191213
Total Test Time,310.331000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,2.582
Switch On CAN_12,,,,,Passed,0.187
Switch On CAN_34,,,,,Passed,0.187
Voltage=12.5V,,,,,Passed,0.223
Voltage=12.5V,,,,,Passed,0.254
Current=5A,,,,,Passed,0.225
12V_DC_Source,,,,,Passed,0.241
Wait,,,,,Passed,0.524
Switch ON Current measure,,,,,Passed,0.188
Switch OFF 12V_9,,,,,Passed,0.188
Wait,,,,,Passed,30.024
Sleep Power Current Measure,97.486,uA,0,100,Passed,0.904
Switch On 12V_9,,,,,Passed,0.186
Wait,,,,,Passed,0.224
Switch OFF Current measure,,,,,Passed,0.187
Wait,,,,,Passed,0.224
Wake up,,,,,Passed,1.181
Wait,,,,,Passed,0.224
Switch ON Current measure,,,,,Passed,0.187
Wait,,,,,Passed,5.024
Standby Power Current Measure,0.716,A,0.5,0.9,Passed,0.553
Wait,,,,,Passed,0.224
Switch OFF Current measure,,,,,Passed,0.190
Connect DUT,,,,,Passed,6.673
Wait,,,,,Passed,0.224
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.111
Switch On 12V_10,,,,,Passed,0.220
Switch On 12V_20,,,,,Passed,0.231
EnvironmentPath,,,,,Passed,1.369
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.320
FPGA version,0d180a03,,0d180a03,,Passed,0.045
MCU version,045,,045,,Passed,0.045
Read FSSMACS_AclState,50,,30,50,Passed,0.044
Read FTSMACS_AclState,3,,3,3,Passed,0.039
Read SASMACS_AclState,2,,2,2,Passed,0.037
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.036
Read FTEAEXC_UResExcAvg,0.989,,0.95,1.2,Passed,0.050
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.108
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.042
Wait,,,,,Passed,0.228
Set LV Voltage=10V,,,,,Passed,0.246
Wait,,,,,Passed,0.225
Read_FS_UbatLV_U16,1170,,900,1300,Passed,0.091
Set_LV_Voltage=12V,,,,,Passed,0.244
Wait,,,,,Passed,0.227
Read_FS_UbatLV_U16,1411,,1200,1600,Passed,0.083
Set_LV_Voltage=14V,,,,,Passed,0.251
Wait,,,,,Passed,0.225
Read_FS_UbatLV_U16,1650,,1400,1800,Passed,0.072
Read Correction,0.00833,,0,1,Passed,0.239
LV_Caculation ,,,,,Passed,0.096
NumericTest,0.00833,,0,1,Passed,0.004
Set_LV_Voltage=12.5V,,,,,Passed,0.236
HV_Channel ON,,,,,Passed,0.649
Apply HV Battery = 0V,,,,,Passed,0.078
Set FSEABHV_HighUbatHVThdC=530,,,,,Passed,0.222
Set SAMTBHV_HighVoltageThrC=530,,,,,Passed,0.216
HV_Source ON,,,,,Passed,0.087
Switch On HV_21,,,,,Passed,0.236
Switch On HV_22,,,,,Passed,0.219
Switch On 12V_8,,,,,Passed,0.223
Switch On 12V_9,,,,,Passed,0.219
Read T_Iuvw3_U16[0],2045,,2024,2080,Passed,0.038
Read T_Iuvw3_U16[1],2052,,2024,2080,Passed,0.041
Read T_Iuvw3_U16[2],2054,,2024,2080,Passed,0.041
Read FS_IbatHV_U16,2049,,2024,2080,Passed,0.040
HV_Channel ON,,,,,Passed,0.650
HV_Source ON,,,,,Passed,0.076
Apply HV Battery = 270V,,,,,Passed,0.077
Apply HV Battery =2A,,,,,Passed,0.071
Wait,,,,,Passed,0.529
Read FSEABHV_UbatHV,269.550,,265,273,Passed,0.039
HV_Source OFF,,,,,Passed,0.071
HV_Channel OFF,,,,,Passed,0.637
Wait,,,,,Passed,0.527
Read FSMAPMT_PmTemp,24.444,,18,26,Passed,0.040
Read FSMADBT_DboardTemp,22.596,,20,40,Passed,0.047
Read FSMACBT_CboardTempHV,23.149,,20,40,Passed,0.039
Read FSMACBT_CboardTempLV,23.234,,20,40,Passed,0.038
Read FSMAICT_CoolingTemp,22.213,,18,30,Passed,0.037
Read FSMAMST_StatorTemp1,83.121,,78,88,Passed,0.044
Read FSMAMST_StatorTemp2,86.705,,78,88,Passed,0.038
Wait,,,,,Passed,0.524
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.216
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.234
Wait,,,,,Passed,0.525
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.298
Set MAIN_u16ModeReq=1,,,,,Passed,0.538
Set MAIN_u16ModeReq=1,,,,,Passed,0.293
Wait,,,,,Passed,0.524
Set UDS_bRoutineActive=1,,,,,Passed,0.307
MAIN_MSGu8PowerMode=7,,,,,Passed,0.320
Wait,,,,,Passed,0.524
ENS testing ENS_u32Dty,10180,,5000,15000,Passed,1.229
ENS testing ENS_u32Prd,19998,,10000,30000,Passed,1.137
HV_Channel ON,,,,,Passed,0.643
HV_Source ON,,,,,Passed,0.070
Apply HV Battery = 220V,,,,,Passed,0.074
Wait,,,,,Passed,1.027
Read FS_UbatHV_U16,959,,900,1000,Passed,0.072
Apply HV Battery = 280V,,,,,Passed,0.083
Wait,,,,,Passed,1.029
Read FS_UbatHV_U16,1219,,1000,1300,Passed,0.073
Apply HV Battery = 350V,,,,,Passed,0.068
Wait,,,,,Passed,1.028
Read FS_UbatHV_U16,1518,,1400,1600,Passed,0.082
Read Correction,0.233,,0,1,Passed,0.076
HV_Caculation ,,,,,Passed,0.095
Check_the_water,1,,1,1,Passed,1.166
U_LOAD,,,,,Passed,0.072
V_LOAD,,,,,Passed,0.070
W_LOAD,,,,,Passed,0.064
Apply HV Battery =270V,,,,,Passed,0.078
Apply HV Battery =25A,,,,,Passed,0.072
Read FSSMACS_AclState,50,,30,50,Passed,0.037
Read FTSMACS_AclState,3,,3,3,Passed,0.040
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.227
Wait,,,,,Passed,0.126
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.221
Wait,,,,,Passed,0.126
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.278
Wait,,,,,Passed,1.025
Set UDS_bRoutineActive=1,,,,,Passed,0.288
Wait,,,,,Passed,1.025
Read FSSMACS_Aclstate,50,,30,50,Passed,0.040
Set MAIN_u8GKNAppliModeBYPC=1,,,,,Passed,0.226
Wait,,,,,Passed,0.525
Set MAIN_u16ModeReq=0,,,,,Passed,0.040
Read FSSMACS_Aclstate,31,,30,31,Passed,0.040
Wait,,,,,Passed,0.530
Set FTSMACS_FtModeReqBypassOnOffC=1,,,,,Passed,0.228
Wait,,,,,Passed,0.526
Set FTSMACS_FtModeReqBypassValueC=6,,,,,Passed,0.230
Wait,,,,,Passed,0.524
Read FTSMACS_AclState,8,,8,8,Passed,0.049
Wait,,,,,Passed,0.527
Read FSSMACS_Aclstate,31,,30,31,Passed,0.043
Set_FTCIVDC_ExtPwmOnOff3C=1,,,,,Passed,0.239
Wait,,,,,Passed,0.525
Set_U_DutyCycle= 0.548,,,,,Passed,0.240
Wait,,,,,Passed,0.530
Read FT_Iuvw3_U16[0],1550,,1000,3000,Passed,0.078
Read U Current,-353.118,,-500,500,Passed,0.584
Set_U_DutyCycle= 0.545,,,,,Passed,0.222
Wait,,,,,Passed,0.534
Read FT_Iuvw3_U16[0],1677,,1000,3000,Passed,0.075
Read U Current,-261.514,,-500,500,Passed,0.189
Set_U_DutyCycle= 0.54,,,,,Passed,0.226
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[0],1870,,1000,3000,Passed,0.082
Read U Current,-123.671,,-500,500,Passed,0.177
Set_U_DutyCycle= 0.5,,,,,Passed,0.233
Wait,,,,,Passed,0.525
Set FSTCGTC_BenchPhaCurTgtC=0,2049,,1000,3000,Passed,0.094
Read U Current,1.623,,-500,500,Passed,0.187
Set_U_DutyCycle= 0.46,,,,,Passed,0.238
Wait,,,,,Passed,0.530
Read FT_Iuvw3_U16[0],2278,,1000,3000,Passed,0.073
Read U Current,161.726,,-500,500,Passed,0.187
Set_U_DutyCycle= 0.455,,,,,Passed,0.244
Wait,,,,,Passed,0.528
Read FT_Iuvw3_U16[0],2486,,1000,3000,Passed,0.073
Read U Current,313.0607,,-500,500,Passed,0.195
Set_U_DutyCycle= 0.452,,,,,Passed,0.227
Wait,,,,,Passed,0.532
Read FT_Iuvw3_U16[0],2641,,1000,3000,Passed,0.096
Read U Current,416.788,,-500,500,Passed,0.203
Set_V_DutyCycle= 0.548,,,,,Passed,0.222
Wait,,,,,Passed,0.530
Read FT_Iuvw3_U16[1],1524,,1000,3000,Passed,0.079
Read V Current,-377.183,,-500,500,Passed,0.203
Set_V_DutyCycle= 0.545,,,,,Passed,0.227
Wait,,,,,Passed,0.528
Read FT_Iuvw3_U16[1],1659,,1000,3000,Passed,0.071
Read V Current,-280.013,,-500,500,Passed,0.177
Set_V_DutyCycle= 0.54,,,,,Passed,0.232
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[1],1856,,1000,3000,Passed,0.076
Read V Current,-138.270,,-500,500,Passed,0.183
Set_V_DutyCycle= 0.5,,,,,Passed,0.248
Wait,,,,,Passed,0.534
Read FT_Iuvw3_U16[1],2054,,1000,3000,Passed,0.072
Read V Current,1.562,,-500,500,Passed,0.218
Set_V_DutyCycle= 0.46,,,,,Passed,0.225
Wait,,,,,Passed,0.531
Read FT_Iuvw3_U16[1],2268,,1000,3000,Passed,0.094
Read V Current,153.370,,-500,500,Passed,0.213
Set_V_DutyCycle= 0.455,,,,,Passed,0.254
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[1],2470,,1000,3000,Passed,0.093
Read V Current,300.255,,-500,500,Passed,0.186
Set_V_DutyCycle= 0.452,,,,,Passed,0.234
Wait,,,,,Passed,0.535
Read FT_Iuvw3_U16[1],2618,,1000,3000,Passed,0.093
Read V Current,400.229,,-500,500,Passed,0.192
Set_W_DutyCycle= 0.548,,,,,Passed,0.233
Wait,,,,,Passed,0.528
Read FT_Iuvw3_U16[2],1540,,1000,3000,Passed,0.084
Read W Current,-370.103,,-500,500,Passed,0.212
Set_W_DutyCycle= 0.545,,,,,Passed,0.233
Wait,,,,,Passed,0.528
Read FT_Iuvw3_U16[2],1673,,1000,3000,Passed,0.085
Read W Current,-271.888,,-500,500,Passed,0.199
Set_W_DutyCycle= 0.54,,,,,Passed,0.222
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[2],1875,,1000,3000,Passed,0.081
Read W Current,-125.803,,-500,500,Passed,0.189
Set_W_DutyCycle= 0.5,,,,,Passed,0.226
Wait,,,,,Passed,0.534
Read FT_Iuvw3_U16[2],2049,,1000,3000,Passed,0.097
Read W Current,1.780,,-500,500,Passed,0.190
Set_W_DutyCycle= 0.46,,,,,Passed,0.248
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[2],2243,,1000,3000,Passed,0.077
Read W Current,142.801,,-500,500,Passed,0.185
Set_W_DutyCycle= 0.455,,,,,Passed,0.237
Wait,,,,,Passed,0.528
Read FT_Iuvw3_U16[2],2454,,1000,3000,Passed,0.082
Read W Current,292.637,,-500,500,Passed,0.193
Set_W_DutyCycle= 0.452,,,,,Passed,0.242
Wait,,,,,Passed,0.528
