Product Name,JLR
Station Name,EOL
Serial Number,!193550049!_V29113441
DateTime,20191227_204548
Total Test Time,305.559000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,2.584
Switch On CAN_12,,,,,Passed,0.186
Switch On CAN_34,,,,,Passed,0.185
Voltage=12.5V,,,,,Passed,0.220
Voltage=12.5V,,,,,Passed,0.224
Current=5A,,,,,Passed,0.225
12V_DC_Source,,,,,Passed,0.223
Wait,,,,,Passed,0.523
Switch ON Current measure,,,,,Passed,0.188
Switch OFF 12V_9,,,,,Passed,0.186
Wait,,,,,Passed,30.024
Sleep Power Current Measure,98.529,uA,0,100,Passed,0.962
Switch On 12V_9,,,,,Passed,0.185
Wait,,,,,Passed,0.224
Switch OFF Current measure,,,,,Passed,0.186
Wait,,,,,Passed,0.224
Wake up,,,,,Passed,1.180
Wait,,,,,Passed,0.223
Switch ON Current measure,,,,,Passed,0.188
Wait,,,,,Passed,5.023
Standby Power Current Measure,0.697,A,0.5,0.9,Passed,0.544
Wait,,,,,Passed,0.224
Switch OFF Current measure,,,,,Passed,0.197
Connect DUT,,,,,Passed,6.679
Wait,,,,,Passed,0.225
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.116
Switch On 12V_10,,,,,Passed,0.227
Switch On 12V_20,,,,,Passed,0.222
EnvironmentPath,,,,,Passed,1.348
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.314
FPGA version,0d180a03,,0d180a03,,Passed,0.046
MCU version,045,,045,,Passed,0.056
Read FSSMACS_AclState,50,,30,50,Passed,0.040
Read FTSMACS_AclState,3,,3,3,Passed,0.045
Read SASMACS_AclState,2,,2,2,Passed,0.037
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.037
Read FTEAEXC_UResExcAvg,0.994,,0.95,1.2,Passed,0.040
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.104
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.041
Wait,,,,,Passed,0.228
Set LV Voltage=10V,,,,,Passed,0.246
Wait,,,,,Passed,0.225
Read_FS_UbatLV_U16,1166,,900,1300,Passed,0.088
Set_LV_Voltage=12V,,,,,Passed,0.262
Wait,,,,,Passed,0.226
Read_FS_UbatLV_U16,1406,,1200,1600,Passed,0.083
Set_LV_Voltage=14V,,,,,Passed,0.245
Wait,,,,,Passed,0.228
Read_FS_UbatLV_U16,1647,,1400,1800,Passed,0.083
Read Correction,0.00832,,0,1,Passed,0.228
LV_Caculation ,,,,,Passed,0.096
NumericTest,0.00832,,0,1,Passed,0.005
Set_LV_Voltage=12.5V,,,,,Passed,0.250
HV_Channel ON,,,,,Passed,0.634
Apply HV Battery = 0V,,,,,Passed,0.083
Set FSEABHV_HighUbatHVThdC=530,,,,,Passed,0.216
Set SAMTBHV_HighVoltageThrC=530,,,,,Passed,0.226
HV_Source ON,,,,,Passed,0.076
Switch On HV_21,,,,,Passed,0.215
Switch On HV_22,,,,,Passed,0.228
Switch On 12V_8,,,,,Passed,0.223
Switch On 12V_9,,,,,Passed,0.224
Read T_Iuvw3_U16[0],2045,,2024,2080,Passed,0.039
Read T_Iuvw3_U16[1],2060,,2024,2080,Passed,0.042
Read T_Iuvw3_U16[2],2051,,2024,2080,Passed,0.038
Read FS_IbatHV_U16,2044,,2024,2080,Passed,0.044
HV_Channel ON,,,,,Passed,0.635
HV_Source ON,,,,,Passed,0.073
Apply HV Battery = 270V,,,,,Passed,0.078
Apply HV Battery =2A,,,,,Passed,0.070
Wait,,,,,Passed,0.528
