Product Name,JLR
Station Name,EOL
Serial Number,!193530006!_V29113441
DateTime,20191226_224842
Total Test Time,307.502000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,2.584
Switch On CAN_12,,,,,Passed,0.185
Switch On CAN_34,,,,,Passed,0.186
Voltage=12.5V,,,,,Passed,0.223
Voltage=12.5V,,,,,Passed,0.226
Current=5A,,,,,Passed,0.253
12V_DC_Source,,,,,Passed,0.225
Wait,,,,,Passed,0.523
Switch ON Current measure,,,,,Passed,0.187
Switch OFF 12V_9,,,,,Passed,0.191
Wait,,,,,Passed,30.025
Sleep Power Current Measure,94.600,uA,0,100,Passed,0.950
Switch On 12V_9,,,,,Passed,0.186
Wait,,,,,Passed,0.224
Switch OFF Current measure,,,,,Passed,0.186
Wait,,,,,Passed,0.224
Wake up,,,,,Passed,1.181
Wait,,,,,Passed,0.224
Switch ON Current measure,,,,,Passed,0.186
Wait,,,,,Passed,5.024
Standby Power Current Measure,0.709,A,0.5,0.9,Passed,0.589
Wait,,,,,Passed,0.223
Switch OFF Current measure,,,,,Passed,0.186
Connect DUT,,,,,Passed,6.781
Wait,,,,,Passed,0.225
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.120
Switch On 12V_10,,,,,Passed,0.225
Switch On 12V_20,,,,,Passed,0.220
EnvironmentPath,,,,,Passed,1.350
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.311
FPGA version,0d180a03,,0d180a03,,Passed,0.044
MCU version,045,,045,,Passed,0.045
Read FSSMACS_AclState,50,,30,50,Passed,0.046
Read FTSMACS_AclState,3,,3,3,Passed,0.038
Read SASMACS_AclState,2,,2,2,Passed,0.042
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.041
Read FTEAEXC_UResExcAvg,0.978,,0.95,1.2,Passed,0.038
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.101
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.037
Wait,,,,,Passed,0.224
Set LV Voltage=10V,,,,,Passed,0.243
Wait,,,,,Passed,0.228
Read_FS_UbatLV_U16,1162,,900,1300,Passed,0.080
Set_LV_Voltage=12V,,,,,Passed,0.248
Wait,,,,,Passed,0.225
Read_FS_UbatLV_U16,1403,,1200,1600,Passed,0.069
Set_LV_Voltage=14V,,,,,Passed,0.235
Wait,,,,,Passed,0.228
Read_FS_UbatLV_U16,1645,,1400,1800,Passed,0.070
Read Correction,0.00828,,0,1,Passed,0.227
LV_Caculation ,,,,,Passed,0.091
NumericTest,0.00828,,0,1,Passed,0.003
Set_LV_Voltage=12.5V,,,,,Passed,0.246
HV_Channel ON,,,,,Passed,0.643
Apply HV Battery = 0V,,,,,Passed,0.069
Set FSEABHV_HighUbatHVThdC=530,,,,,Passed,0.232
Set SAMTBHV_HighVoltageThrC=530,,,,,Passed,0.215
HV_Source ON,,,,,Passed,0.067
Switch On HV_21,,,,,Passed,0.224
Switch On HV_22,,,,,Passed,0.222
Switch On 12V_8,,,,,Passed,0.231
Switch On 12V_9,,,,,Passed,0.226
Read T_Iuvw3_U16[0],2043,,2024,2080,Passed,0.045
Read T_Iuvw3_U16[1],2057,,2024,2080,Passed,0.040
Read T_Iuvw3_U16[2],2052,,2024,2080,Passed,0.037
Read FS_IbatHV_U16,2050,,2024,2080,Passed,0.040
HV_Channel ON,,,,,Passed,0.650
HV_Source ON,,,,,Passed,0.070
Apply HV Battery = 270V,,,,,Passed,0.087
Apply HV Battery =2A,,,,,Passed,0.075
Wait,,,,,Passed,0.523
Read FSEABHV_UbatHV,270.00958,,265,273,Passed,0.045
HV_Source OFF,,,,,Passed,0.077
HV_Channel OFF,,,,,Passed,0.658
Wait,,,,,Passed,0.525
Read FSMAPMT_PmTemp,24.0671,,18,26,Passed,0.038
Read FSMADBT_DboardTemp,23.191,,20,40,Passed,0.043
