Product Name,JLR
Station Name,EOL
Serial Number,!193530072!_V29113441
DateTime,20191226_232738
Total Test Time,298.843000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,2.531
Switch On CAN_12,,,,,Passed,0.189
Switch On CAN_34,,,,,Passed,0.190
Voltage=12.5V,,,,,Passed,0.225
Voltage=12.5V,,,,,Passed,0.241
Current=5A,,,,,Passed,0.222
12V_DC_Source,,,,,Passed,0.238
Wait,,,,,Passed,0.524
Switch ON Current measure,,,,,Passed,0.188
Switch OFF 12V_9,,,,,Passed,0.191
Wait,,,,,Passed,30.025
Sleep Power Current Measure,75.590,uA,0,100,Passed,0.706
Switch On 12V_9,,,,,Passed,0.189
Wait,,,,,Passed,0.225
Switch OFF Current measure,,,,,Passed,0.190
Wait,,,,,Passed,0.224
Wake up,,,,,Passed,1.067
Wait,,,,,Passed,0.224
Switch ON Current measure,,,,,Passed,0.190
Wait,,,,,Passed,5.024
Standby Power Current Measure,0.737,A,0.5,0.9,Passed,0.535
Wait,,,,,Passed,0.223
Switch OFF Current measure,,,,,Passed,0.189
Connect DUT,,,,,Passed,6.681
Wait,,,,,Passed,0.225
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.043
Switch On 12V_10,,,,,Passed,0.204
Switch On 12V_20,,,,,Passed,0.205
EnvironmentPath,,,,,Passed,1.364
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.309
FPGA version,0d180a03,,0d180a03,,Passed,0.047
MCU version,045,,045,,Passed,0.052
Read FSSMACS_AclState,50,,30,50,Passed,0.039
Read FTSMACS_AclState,3,,3,3,Passed,0.038
Read SASMACS_AclState,2,,2,2,Passed,0.037
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.036
Read FTEAEXC_UResExcAvg,0.991,,0.95,1.2,Passed,0.042
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.096
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.041
Wait,,,,,Passed,0.224
Set LV Voltage=10V,,,,,Passed,0.251
Wait,,,,,Passed,0.224
