Product Name,JLR
Station Name,EOL
Serial Number,!193520056!_V29113441
DateTime,20191226_225631
Total Test Time,306.520000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,2.532
Switch On CAN_12,,,,,Passed,0.194
Switch On CAN_34,,,,,Passed,0.193
Voltage=12.5V,,,,,Passed,0.226
Voltage=12.5V,,,,,Passed,0.242
Current=5A,,,,,Passed,0.221
12V_DC_Source,,,,,Passed,0.241
Wait,,,,,Passed,0.525
Switch ON Current measure,,,,,Passed,0.191
Switch OFF 12V_9,,,,,Passed,0.192
Wait,,,,,Passed,30.026
Sleep Power Current Measure,79.358,uA,0,100,Passed,0.664
Switch On 12V_9,,,,,Passed,0.193
Wait,,,,,Passed,0.227
Switch OFF Current measure,,,,,Passed,0.193
Wait,,,,,Passed,0.225
Wake up,,,,,Passed,1.068
Wait,,,,,Passed,0.225
Switch ON Current measure,,,,,Passed,0.191
Wait,,,,,Passed,5.025
Standby Power Current Measure,0.712,A,0.5,0.9,Passed,0.539
Wait,,,,,Passed,0.225
Switch OFF Current measure,,,,,Passed,0.192
Connect DUT,,,,,Passed,6.801
Wait,,,,,Passed,0.230
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.044
Switch On 12V_10,,,,,Passed,0.237
Switch On 12V_20,,,,,Passed,0.232
EnvironmentPath,,,,,Passed,1.347
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.233
FPGA version,0d180a03,,0d180a03,,Passed,0.043
MCU version,045,,045,,Passed,0.041
Read FSSMACS_AclState,50,,30,50,Passed,0.040
Read FTSMACS_AclState,3,,3,3,Passed,0.045
Read SASMACS_AclState,2,,2,2,Passed,0.046
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.039
Read FTEAEXC_UResExcAvg,0.995,,0.95,1.2,Passed,0.045
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.041
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.040
Wait,,,,,Passed,0.227
Set LV Voltage=10V,,,,,Passed,0.245
Wait,,,,,Passed,0.230
Read_FS_UbatLV_U16,1175,,900,1300,Passed,0.074
Set_LV_Voltage=12V,,,,,Passed,0.236
Wait,,,,,Passed,0.226
Read_FS_UbatLV_U16,1415,,1200,1600,Passed,0.072
Set_LV_Voltage=14V,,,,,Passed,0.245
Wait,,,,,Passed,0.227
Read_FS_UbatLV_U16,1654,,1400,1800,Passed,0.073
Read Correction,0.00835,,0,1,Passed,0.081
LV_Caculation ,,,,,Passed,0.046
NumericTest,0.00835,,0,1,Passed,0.001
Set_LV_Voltage=12.5V,,,,,Passed,0.247
HV_Channel ON,,,,,Passed,0.613
Apply HV Battery = 0V,,,,,Passed,0.072
Set FSEABHV_HighUbatHVThdC=530,,,,,Passed,0.222
Set SAMTBHV_HighVoltageThrC=530,,,,,Passed,0.225
HV_Source ON,,,,,Passed,0.082
Switch On HV_21,,,,,Passed,0.232
Switch On HV_22,,,,,Passed,0.222
Switch On 12V_8,,,,,Passed,0.230
Switch On 12V_9,,,,,Passed,0.231
Read T_Iuvw3_U16[0],2042,,2024,2080,Passed,0.046
Read T_Iuvw3_U16[1],2062,,2024,2080,Passed,0.043
Read T_Iuvw3_U16[2],2058,,2024,2080,Passed,0.041
Read FS_IbatHV_U16,2040,,2024,2080,Passed,0.040
HV_Channel ON,,,,,Passed,0.636
HV_Source ON,,,,,Passed,0.082
Apply HV Battery = 270V,,,,,Passed,0.085
Apply HV Battery =2A,,,,,Passed,0.070
Wait,,,,,Passed,0.526
Read FSEABHV_UbatHV,270.928,,265,273,Passed,0.040
HV_Source OFF,,,,,Passed,0.078
HV_Channel OFF,,,,,Passed,0.645
Wait,,,,,Passed,0.528
Read FSMAPMT_PmTemp,24.193,,18,26,Passed,0.050
Read FSMADBT_DboardTemp,22.936,,20,40,Passed,0.041
Read FSMACBT_CboardTempHV,23.489,,20,40,Passed,0.040
Read FSMACBT_CboardTempLV,23.532,,20,40,Passed,0.046
Read FSMAICT_CoolingTemp,22.596,,18,30,Passed,0.042
Read FSMAMST_StatorTemp1,83.179,,78,88,Passed,0.045
Read FSMAMST_StatorTemp2,86.879,,78,88,Passed,0.045
Wait,,,,,Passed,0.525
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.234
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.225
Wait,,,,,Passed,0.527
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.299
Set MAIN_u16ModeReq=1,,,,,Passed,0.540
Set MAIN_u16ModeReq=1,,,,,Passed,0.301
Wait,,,,,Passed,0.525
Set UDS_bRoutineActive=1,,,,,Passed,0.545
MAIN_MSGu8PowerMode=7,,,,,Passed,0.303
Wait,,,,,Passed,0.530
ENS testing ENS_u32Dty,10202,,5000,15000,Passed,1.140
ENS testing ENS_u32Prd,19992,,10000,30000,Passed,1.143
HV_Channel ON,,,,,Passed,0.615
HV_Source ON,,,,,Passed,0.082
Apply HV Battery = 220V,,,,,Passed,0.088
Wait,,,,,Passed,1.026
Read FS_UbatHV_U16,962,,900,1000,Passed,0.075
Apply HV Battery = 280V,,,,,Passed,0.080
Wait,,,,,Passed,1.026
Read FS_UbatHV_U16,1222,,1000,1300,Passed,0.079
Apply HV Battery = 350V,,,,,Passed,0.076
Wait,,,,,Passed,1.028
Read FS_UbatHV_U16,1526,,1400,1600,Passed,0.079
Read Correction,0.230,,0,1,Passed,0.082
HV_Caculation ,,,,,Passed,0.050
Check_the_water,1,,1,1,Passed,1.108
U_LOAD,,,,,Passed,0.070
V_LOAD,,,,,Passed,0.071
W_LOAD,,,,,Passed,0.070
Apply HV Battery =270V,,,,,Passed,0.069
Apply HV Battery =25A,,,,,Passed,0.073
Read FSSMACS_AclState,50,,30,50,Passed,0.044
Read FTSMACS_AclState,3,,3,3,Passed,0.044
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.220
Wait,,,,,Passed,0.127
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.236
Wait,,,,,Passed,0.126
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.310
Wait,,,,,Passed,1.026
Set UDS_bRoutineActive=1,,,,,Passed,0.289
Wait,,,,,Passed,1.028
Read FSSMACS_Aclstate,50,,30,50,Passed,0.041
Set MAIN_u8GKNAppliModeBYPC=1,,,,,Passed,0.218
Wait,,,,,Passed,0.528
Set MAIN_u16ModeReq=0,,,,,Passed,0.042
Read FSSMACS_Aclstate,31,,30,31,Passed,0.046
Wait,,,,,Passed,0.527
Set FTSMACS_FtModeReqBypassOnOffC=1,,,,,Passed,0.221
Wait,,,,,Passed,0.530
Set FTSMACS_FtModeReqBypassValueC=6,,,,,Passed,0.234
Wait,,,,,Passed,0.526
Read FTSMACS_AclState,8,,8,8,Passed,0.042
Wait,,,,,Passed,0.526
Read FSSMACS_Aclstate,31,,30,31,Passed,0.042
Set_FTCIVDC_ExtPwmOnOff3C=1,,,,,Passed,0.237
Wait,,,,,Passed,0.530
Set_U_DutyCycle= 0.548,,,,,Passed,0.237
Wait,,,,,Passed,0.526
Read FT_Iuvw3_U16[0],1532,,1000,3000,Passed,0.092
Read U Current,-363.229,,-500,500,Passed,0.196
Set_U_DutyCycle= 0.545,,,,,Passed,0.230
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[0],1655,,1000,3000,Passed,0.079
Read U Current,-274.275,,-500,500,Passed,0.201
Set_U_DutyCycle= 0.54,,,,,Passed,0.236
Wait,,,,,Passed,0.526
Read FT_Iuvw3_U16[0],1852,,1000,3000,Passed,0.075
Read U Current,-136.085,,-500,500,Passed,0.191
Set_U_DutyCycle= 0.5,,,,,Passed,0.228
Wait,,,,,Passed,0.526
Set FSTCGTC_BenchPhaCurTgtC=0,2049,,1000,3000,Passed,0.100
Read U Current,2.0596,,-500,500,Passed,0.182
Set_U_DutyCycle= 0.46,,,,,Passed,0.254
Wait,,,,,Passed,0.528
Read FT_Iuvw3_U16[0],2278,,1000,3000,Passed,0.090
Read U Current,161.662,,-500,500,Passed,0.194
Set_U_DutyCycle= 0.455,,,,,Passed,0.221
Wait,,,,,Passed,0.526
Read FT_Iuvw3_U16[0],2488,,1000,3000,Passed,0.073
Read U Current,307.654,,-500,500,Passed,0.186
Set_U_DutyCycle= 0.452,,,,,Passed,0.221
Wait,,,,,Passed,0.528
Read FT_Iuvw3_U16[0],2631,,1000,3000,Passed,0.073
Read U Current,409.455,,-500,500,Passed,0.183
Set_V_DutyCycle= 0.548,,,,,Passed,0.222
Wait,,,,,Passed,0.528
Read FT_Iuvw3_U16[1],1532,,1000,3000,Passed,0.088
Read V Current,-378.870,,-500,500,Passed,0.181
Set_V_DutyCycle= 0.545,,,,,Passed,0.227
Wait,,,,,Passed,0.527
Read FT_Iuvw3_U16[1],1665,,1000,3000,Passed,0.077
Read V Current,-283.9481,,-500,500,Passed,0.204
Set_V_DutyCycle= 0.54,,,,,Passed,0.229
Wait,,,,,Passed,0.532
Read FT_Iuvw3_U16[1],1860,,1000,3000,Passed,0.076
Read V Current,-141.822,,-500,500,Passed,0.197
Set_V_DutyCycle= 0.5,,,,,Passed,0.230
Wait,,,,,Passed,0.526
Read FT_Iuvw3_U16[1],2062,,1000,3000,Passed,0.076
Read V Current,2.108,,-500,500,Passed,0.204
Set_V_DutyCycle= 0.46,,,,,Passed,0.233
Wait,,,,,Passed,0.533
Read FT_Iuvw3_U16[1],2286,,1000,3000,Passed,0.074
Read V Current,165.257,,-500,500,Passed,0.182
Set_V_DutyCycle= 0.455,,,,,Passed,0.232
Wait,,,,,Passed,0.533
Read FT_Iuvw3_U16[1],2500,,1000,3000,Passed,0.082
Read V Current,314.408,,-500,500,Passed,0.182
Set_V_DutyCycle= 0.452,,,,,Passed,0.223
Wait,,,,,Passed,0.532
Read FT_Iuvw3_U16[1],2638,,1000,3000,Passed,0.079
Read V Current,415.384,,-500,500,Passed,0.204
Set_W_DutyCycle= 0.548,,,,,Passed,0.242
