Product Name,JLR,,,,,
Station Name,EOL,,,,,
Serial Number,!192950077!_V29113441,,,,,
DateTime,20191228_142529,,,,,
Total Test Time,310.456,,,,,
Result,Pass,,,,,
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,2.531
Switch On CAN_12,,,,,Passed,0.193
Switch On CAN_34,,,,,Passed,0.198
Voltage=12.5V,,,,,Passed,0.255
Voltage=12.5V,,,,,Passed,0.23
Current=5A,,,,,Passed,0.234
12V_DC_Source,,,,,Passed,0.236
Wait,,,,,Passed,0.525
Switch ON Current measure,,,,,Passed,0.192
Switch OFF 12V_9,,,,,Passed,0.193
Wait,,,,,Passed,30.025
Sleep Power Current Measure,78.524,uA,0,100,Passed,0.711
Switch On 12V_9,,,,,Passed,0.195
Wait,,,,,Passed,0.226
Switch OFF Current measure,,,,,Passed,0.193
Wait,,,,,Passed,0.226
Wake up,,,,,Passed,1.069
Wait,,,,,Passed,0.226
Switch ON Current measure,,,,,Passed,0.192
Wait,,,,,Passed,5.025
Standby Power Current Measure,0.727,A,0.5,0.9,Passed,0.539
Wait,,,,,Passed,0.226
Switch OFF Current measure,,,,,Passed,0.192
Connect DUT,,,,,Passed,6.705
Wait,,,,,Passed,0.23
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.055
Switch On 12V_10,,,,,Passed,0.236
Switch On 12V_20,,,,,Passed,0.244
EnvironmentPath,,,,,Passed,1.339
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.233
FPGA version,0d180a03,,0d180a03,,Passed,0.045
MCU version,45,,45,,Passed,0.044
Read FSSMACS_AclState,50,,30,50,Passed,0.046
Read FTSMACS_AclState,3,,3,3,Passed,0.047
Read SASMACS_AclState,2,,2,2,Passed,0.045
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.043
Read FTEAEXC_UResExcAvg,0.988,,0.95,1.2,Passed,0.045
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.039
Read MAIN_VSIRxsGridVoltW,3,,2,4,Passed,0.042
Wait,,,,,Passed,0.23
Set LV Voltage=10V,,,,,Passed,0.248
Wait,,,,,Passed,0.23
Read_FS_UbatLV_U16,1166,,900,1300,Passed,0.085
Set_LV_Voltage=12V,,,,,Passed,0.254
Wait,,,,,Passed,0.226
Read_FS_UbatLV_U16,1408,,1200,1600,Passed,0.083
Set_LV_Voltage=14V,,,,,Passed,0.245
Wait,,,,,Passed,0.229
Read_FS_UbatLV_U16,1650,,1400,1800,Passed,0.075
Read Correction,0.00826,,0,1,Passed,0.076
LV_Caculation ,,,,,Passed,0.044
NumericTest,0.00826,,0,1,Passed,0.001
Set_LV_Voltage=12.5V,,,,,Passed,0.243
HV_Channel ON,,,,,Passed,0.622
Apply HV Battery = 0V,,,,,Passed,0.081
Set FSEABHV_HighUbatHVThdC=530,,,,,Passed,0.231
Set SAMTBHV_HighVoltageThrC=530,,,,,Passed,0.234
HV_Source ON,,,,,Passed,0.073
Switch On HV_21,,,,,Passed,0.217
Switch On HV_22,,,,,Passed,0.222
Switch On 12V_8,,,,,Passed,0.21
Switch On 12V_9,,,,,Passed,0.226
Read T_Iuvw3_U16[0],2049,,2024,2080,Passed,0.045
Read T_Iuvw3_U16[1],2055,,2024,2080,Passed,0.043
Read T_Iuvw3_U16[2],2053,,2024,2080,Passed,0.05
Read FS_IbatHV_U16,2040,,2024,2080,Passed,0.042
HV_Channel ON,,,,,Passed,0.629
HV_Source ON,,,,,Passed,0.071
Apply HV Battery = 270V,,,,,Passed,0.072
Apply HV Battery =2A,,,,,Passed,0.069
Wait,,,,,Passed,0.527
Read FSEABHV_UbatHV,269.321,,265,273,Passed,0.046
HV_Source OFF,,,,,Passed,0.077
HV_Channel OFF,,,,,Passed,0.652
Wait,,,,,Passed,0.527
Read FSMAPMT_PmTemp,24.277,,18,26,Passed,0.042
Read FSMADBT_DboardTemp,21.745,,20,40,Passed,0.043
Read FSMACBT_CboardTempHV,22.383,,20,40,Passed,0.041
Read FSMACBT_CboardTempLV,22.255,,20,40,Passed,0.047
Read FSMAICT_CoolingTemp,21.319,,18,30,Passed,0.044
Read FSMAMST_StatorTemp1,83.179,,78,88,Passed,0.04
Read FSMAMST_StatorTemp2,86.821,,78,88,Passed,0.045
Wait,,,,,Passed,0.529
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.228
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.226
Wait,,,,,Passed,0.53
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.3
Set MAIN_u16ModeReq=1,,,,,Passed,0.295
Set MAIN_u16ModeReq=1,,,,,Passed,0.3
Wait,,,,,Passed,0.53
Set UDS_bRoutineActive=1,,,,,Passed,0.304
MAIN_MSGu8PowerMode=7,,,,,Passed,0.306
Wait,,,,,Passed,0.526
