Product Name,JLR
Station Name,EOL
Serial Number,!193530010!_V29113441
DateTime,20191227_171152
Total Test Time,308.219000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,2.582
Switch On CAN_12,,,,,Passed,0.187
Switch On CAN_34,,,,,Passed,0.184
Voltage=12.5V,,,,,Passed,0.221
Voltage=12.5V,,,,,Passed,0.229
Current=5A,,,,,Passed,0.225
12V_DC_Source,,,,,Passed,0.228
Wait,,,,,Passed,0.523
Switch ON Current measure,,,,,Passed,0.188
Switch OFF 12V_9,,,,,Passed,0.189
Wait,,,,,Passed,30.023
Sleep Power Current Measure,84.706,uA,0,100,Passed,0.947
Switch On 12V_9,,,,,Passed,0.187
Wait,,,,,Passed,0.224
Switch OFF Current measure,,,,,Passed,0.185
Wait,,,,,Passed,0.224
Wake up,,,,,Passed,1.180
Wait,,,,,Passed,0.224
Switch ON Current measure,,,,,Passed,0.197
Wait,,,,,Passed,5.023
Standby Power Current Measure,0.693,A,0.5,0.9,Passed,0.588
Wait,,,,,Passed,0.223
Switch OFF Current measure,,,,,Passed,0.187
Connect DUT,,,,,Passed,6.845
Wait,,,,,Passed,0.228
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.125
Switch On 12V_10,,,,,Passed,0.223
Switch On 12V_20,,,,,Passed,0.221
EnvironmentPath,,,,,Passed,1.391
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.323
FPGA version,0d180a03,,0d180a03,,Passed,0.046
MCU version,045,,045,,Passed,0.046
Read FSSMACS_AclState,50,,30,50,Passed,0.045
Read FTSMACS_AclState,3,,3,3,Passed,0.040
Read SASMACS_AclState,2,,2,2,Passed,0.036
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.036
Read FTEAEXC_UResExcAvg,0.988,,0.95,1.2,Passed,0.041
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.109
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.045
Wait,,,,,Passed,0.225
Set LV Voltage=10V,,,,,Passed,0.268
Wait,,,,,Passed,0.228
Read_FS_UbatLV_U16,1161,,900,1300,Passed,0.087
Set_LV_Voltage=12V,,,,,Passed,0.257
Wait,,,,,Passed,0.227
Read_FS_UbatLV_U16,1403,,1200,1600,Passed,0.083
Set_LV_Voltage=14V,,,,,Passed,0.260
Wait,,,,,Passed,0.224
Read_FS_UbatLV_U16,1643,,1400,1800,Passed,0.073
Read Correction,0.00830,,0,1,Passed,0.241
LV_Caculation ,,,,,Passed,0.093
NumericTest,0.00830,,0,1,Passed,0.004
Set_LV_Voltage=12.5V,,,,,Passed,0.247
HV_Channel ON,,,,,Passed,0.618
Apply HV Battery = 0V,,,,,Passed,0.088
Set FSEABHV_HighUbatHVThdC=530,,,,,Passed,0.220
Set SAMTBHV_HighVoltageThrC=530,,,,,Passed,0.220
HV_Source ON,,,,,Passed,0.071
Switch On HV_21,,,,,Passed,0.203
Switch On HV_22,,,,,Passed,0.207
Switch On 12V_8,,,,,Passed,0.202
Switch On 12V_9,,,,,Passed,0.213
Read T_Iuvw3_U16[0],2048,,2024,2080,Passed,0.042
Read T_Iuvw3_U16[1],2060,,2024,2080,Passed,0.041
Read T_Iuvw3_U16[2],2053,,2024,2080,Passed,0.036
Read FS_IbatHV_U16,2040,,2024,2080,Passed,0.043
HV_Channel ON,,,,,Passed,0.619
HV_Source ON,,,,,Passed,0.078
Apply HV Battery = 270V,,,,,Passed,0.071
Apply HV Battery =2A,,,,,Passed,0.075
Wait,,,,,Passed,0.524
Read FSEABHV_UbatHV,268.632,,265,273,Passed,0.041
HV_Source OFF,,,,,Passed,0.070
HV_Channel OFF,,,,,Passed,0.624
Wait,,,,,Passed,0.525
Read FSMAPMT_PmTemp,24.319,,18,26,Passed,0.042
Read FSMADBT_DboardTemp,23.149,,20,40,Passed,0.037
Read FSMACBT_CboardTempHV,23.957,,20,40,Passed,0.036
Read FSMACBT_CboardTempLV,23.787,,20,40,Passed,0.042
Read FSMAICT_CoolingTemp,22.766,,18,30,Passed,0.038
Read FSMAMST_StatorTemp1,83.237,,78,88,Passed,0.037
Read FSMAMST_StatorTemp2,86.821,,78,88,Passed,0.041
Wait,,,,,Passed,0.528
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.237
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.229
Wait,,,,,Passed,0.526
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.303
Set MAIN_u16ModeReq=1,,,,,Passed,0.288
Set MAIN_u16ModeReq=1,,,,,Passed,0.293
Wait,,,,,Passed,0.526
Set UDS_bRoutineActive=1,,,,,Passed,0.307
MAIN_MSGu8PowerMode=7,,,,,Passed,0.320
Wait,,,,,Passed,0.524
ENS testing ENS_u32Dty,10177,,5000,15000,Passed,1.235
ENS testing ENS_u32Prd,19998,,10000,30000,Passed,1.141
HV_Channel ON,,,,,Passed,0.643
HV_Source ON,,,,,Passed,0.068
Apply HV Battery = 220V,,,,,Passed,0.066
Wait,,,,,Passed,1.026
Read FS_UbatHV_U16,955,,900,1000,Passed,0.075
Apply HV Battery = 280V,,,,,Passed,0.069
Wait,,,,,Passed,1.027
Read FS_UbatHV_U16,1212,,1000,1300,Passed,0.079
Apply HV Battery = 350V,,,,,Passed,0.066
Wait,,,,,Passed,1.025
Read FS_UbatHV_U16,1512,,1400,1600,Passed,0.071
Read Correction,0.233,,0,1,Passed,0.076
HV_Caculation ,,,,,Passed,0.096
Check_the_water,1,,1,1,Passed,1.174
U_LOAD,,,,,Passed,0.079
V_LOAD,,,,,Passed,0.073
W_LOAD,,,,,Passed,0.068
Apply HV Battery =270V,,,,,Passed,0.077
Apply HV Battery =25A,,,,,Passed,0.067
Read FSSMACS_AclState,50,,30,50,Passed,0.047
Read FTSMACS_AclState,3,,3,3,Passed,0.037
Set BSW_U32SystemShutDownDelay_MaxC=720000,,,,,Passed,0.218
Wait,,,,,Passed,0.126
Set MAIN_bMSGRxToutBenchOnC=1,,,,,Passed,0.218
Wait,,,,,Passed,0.125
Set MAIN_MSGu8PowerMode=7,,,,,Passed,0.283
Wait,,,,,Passed,1.024
Set UDS_bRoutineActive=1,,,,,Passed,0.765
Wait,,,,,Passed,1.025
Read FSSMACS_Aclstate,50,,30,50,Passed,0.038
Set MAIN_u8GKNAppliModeBYPC=1,,,,,Passed,0.223
Wait,,,,,Passed,0.526
Set MAIN_u16ModeReq=0,,,,,Passed,0.044
Read FSSMACS_Aclstate,31,,30,31,Passed,0.045
Wait,,,,,Passed,0.532
Set FTSMACS_FtModeReqBypassOnOffC=1,,,,,Passed,0.221
Wait,,,,,Passed,0.530
Set FTSMACS_FtModeReqBypassValueC=6,,,,,Passed,0.232
Wait,,,,,Passed,0.534
Read FTSMACS_AclState,8,,8,8,Passed,0.041
Wait,,,,,Passed,0.532
Read FSSMACS_Aclstate,31,,30,31,Passed,0.038
Set_FTCIVDC_ExtPwmOnOff3C=1,,,,,Passed,0.262
Wait,,,,,Passed,0.532
Set_U_DutyCycle= 0.548,,,,,Passed,0.239
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[0],1571,,1000,3000,Passed,0.079
Read U Current,-340.389,,-500,500,Passed,0.622
Set_U_DutyCycle= 0.545,,,,,Passed,0.232
Wait,,,,,Passed,0.526
Read FT_Iuvw3_U16[0],1691,,1000,3000,Passed,0.073
Read U Current,-251.461,,-500,500,Passed,0.187
Set_U_DutyCycle= 0.54,,,,,Passed,0.246
Wait,,,,,Passed,0.524
Read FT_Iuvw3_U16[0],1875,,1000,3000,Passed,0.087
Read U Current,-119.294,,-500,500,Passed,0.187
Set_U_DutyCycle= 0.5,,,,,Passed,0.238
Wait,,,,,Passed,0.534
Set FSTCGTC_BenchPhaCurTgtC=0,2055,,1000,3000,Passed,0.097
Read U Current,1.575,,-500,500,Passed,0.181
Set_U_DutyCycle= 0.46,,,,,Passed,0.224
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[0],2250,,1000,3000,Passed,0.074
Read U Current,142.921,,-500,500,Passed,0.213
Set_U_DutyCycle= 0.455,,,,,Passed,0.223
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[0],2452,,1000,3000,Passed,0.072
Read U Current,285.699,,-500,500,Passed,0.190
Set_U_DutyCycle= 0.452,,,,,Passed,0.224
Wait,,,,,Passed,0.530
Read FT_Iuvw3_U16[0],2599,,1000,3000,Passed,0.093
Read U Current,383.480,,-500,500,Passed,0.197
Set_V_DutyCycle= 0.548,,,,,Passed,0.222
Wait,,,,,Passed,0.530
Read FT_Iuvw3_U16[1],1566,,1000,3000,Passed,0.071
Read V Current,-353.584,,-500,500,Passed,0.182
Set_V_DutyCycle= 0.545,,,,,Passed,0.228
Wait,,,,,Passed,0.526
Read FT_Iuvw3_U16[1],1691,,1000,3000,Passed,0.097
Read V Current,-260.388,,-500,500,Passed,0.192
Set_V_DutyCycle= 0.54,,,,,Passed,0.223
Wait,,,,,Passed,0.527
Read FT_Iuvw3_U16[1],1880,,1000,3000,Passed,0.086
Read V Current,-123.658,,-500,500,Passed,0.195
Set_V_DutyCycle= 0.5,,,,,Passed,0.243
Wait,,,,,Passed,0.524
Read FT_Iuvw3_U16[1],2060,,1000,3000,Passed,0.090
Read V Current,2.0355,,-500,500,Passed,0.179
Set_V_DutyCycle= 0.46,,,,,Passed,0.225
Wait,,,,,Passed,0.526
Read FT_Iuvw3_U16[1],2258,,1000,3000,Passed,0.102
Read V Current,146.00172,,-500,500,Passed,0.189
Set_V_DutyCycle= 0.455,,,,,Passed,0.220
Wait,,,,,Passed,0.534
Read FT_Iuvw3_U16[1],2462,,1000,3000,Passed,0.077
Read V Current,289.807,,-500,500,Passed,0.192
Set_V_DutyCycle= 0.452,,,,,Passed,0.236
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[1],2599,,1000,3000,Passed,0.076
Read V Current,386.994,,-500,500,Passed,0.194
Set_W_DutyCycle= 0.548,,,,,Passed,0.252
Wait,,,,,Passed,0.535
Read FT_Iuvw3_U16[2],1579,,1000,3000,Passed,0.072
Read W Current,-339.284,,-500,500,Passed,0.208
Set_W_DutyCycle= 0.545,,,,,Passed,0.224
Wait,,,,,Passed,0.527
Read FT_Iuvw3_U16[2],1708,,1000,3000,Passed,0.090
Read W Current,-245.619,,-500,500,Passed,0.184
Set_W_DutyCycle= 0.54,,,,,Passed,0.246
Wait,,,,,Passed,0.526
Read FT_Iuvw3_U16[2],1898,,1000,3000,Passed,0.083
Read W Current,-108.840,,-500,500,Passed,0.181
Set_W_DutyCycle= 0.5,,,,,Passed,0.229
Wait,,,,,Passed,0.525
Read FT_Iuvw3_U16[2],2055,,1000,3000,Passed,0.087
Read W Current,1.926,,-500,500,Passed,0.190
Set_W_DutyCycle= 0.46,,,,,Passed,0.228
Wait,,,,,Passed,0.531
Read FT_Iuvw3_U16[2],2234,,1000,3000,Passed,0.081
Read W Current,128.770,,-500,500,Passed,0.205
Set_W_DutyCycle= 0.455,,,,,Passed,0.256
Wait,,,,,Passed,0.531
Read FT_Iuvw3_U16[2],2430,,1000,3000,Passed,0.072
Read W Current,271.255,,-500,500,Passed,0.194
Set_W_DutyCycle= 0.452,,,,,Passed,0.233
Wait,,,,,Passed,0.530
